Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 39.49      2.16     2.16                             main (serial_1.c:30 @ 116b)
 25.50      3.56     1.40                             main (serial_1.c:30 @ 1160)
 13.25      4.28     0.72                             main (serial_1.c:32 @ 1167)
  9.32      4.79     0.51                             main (serial_1.c:36 @ 117e)
  8.59      5.26     0.47                             main (serial_1.c:30 @ 1108)
  3.11      5.43     0.17                             main (serial_1.c:31 @ 115c)
  0.37      5.45     0.02                             main (serial_1.c:32 @ 1158)
  0.18      5.46     0.01                             main (serial_1.c:23 @ 10ba)
  0.18      5.47     0.01                             main (serial_1.c:27 @ 10dc)
